Dip,DipDir_
35.91144943,73.9630661
80.80978394,68.67613983
79.74410248,239.7258453
72.76924133,55.1710701
84.48453522,245.5927429
78.45472717,58.96313858
88.25306702,238.9322662
81.15245819,63.07968903
82.22676086,60.86660004
83.41144562,63.1924324
78.29908752,63.17084503
80.1620636,64.97610474
87.85991669,59.37854767
87.05472565,62.58534622
86.93393707,249.1295929
87.29847717,63.15797806
89.28774261,65.16892242
78.22370148,62.89070511
87.30213165,236.3039398
87.04148865,56.3647728
87.5859375,58.76565552
88.84988403,57.00273132
87.38507843,237.859375
81.0930481,237.3026428
89.72754669,248.9493408
81.08086395,248.0247803
85.92519379,244.7162323
80.56483459,62.18425369
89.5877533,72.80049896
85.33719635,55.89131927
78.23126221,52.92383575
89.13793182,232.622345
87.13074493,62.36185837
81.12948608,247.1364594
75.03887939,253.2360687
88.11711121,247.5091553
77.66484833,74.31906891
83.52059174,67.69372559
88.36290741,59.76680756
82.37519836,67.67905426
74.40866852,69.55578613
85.33612823,253.5874023
88.88863373,225.1351013
89.35731506,257.6393433
85.91249847,253.1109009
86.0213089,270.1207886
66.20534515,91.92636871
85.18082428,70.18842316
58.95586395,77.48390198
83.42253876,75.28315735
76.40245056,67.56381989
79.26727295,60.30619431
86.03038788,262.338501
85.42232513,252.0827637
87.07752228,242.2286072
78.45510101,250.7245789
86.07870483,73.08860016
76.46563721,241.5635681
80.20993042,77.03900146
85.17781067,236.7900543
82.49201202,55.55659103
82.91178131,70.20453644
84.12536621,241.1826782
85.57358551,225.1702271
86.49893188,42.34571457
69.36859131,61.64943314
70.58110809,68.42906189
70.88646698,79.76277924
80.29460144,75.68503571
78.21815491,42.1905899
77.65981293,53.84455872
82.6817627,61.05945969
71.07480621,77.73740387
89.62580872,71.07453156
73.62802124,76.0847702
59.65348053,66.88410187
88.82486725,51.79851532
81.60168457,73.87364197
74.05246735,54.07101822
87.10570526,246.3556366
67.40922546,72.77352905
80.55757904,65.88956451
69.21340942,75.91710663
86.73171234,79.06503296
89.82427216,84.45412445
81.36560059,247.7878571
81.72161865,230.5409546
88.98178101,231.5191956
58.89935684,66.31221771
84.07073212,74.85137939
89.26990509,245.2940826
89.8998642,73.74182892
83.28455353,266.9251404
80.65248108,70.07394409
53.16911697,56.54963684
88.58579254,70.45167542
69.36371613,62.47861481
79.70230103,236.0632019
87.94149017,230.088974
72.91275024,80.85326385
85.46162415,240.5358276
82.82164001,54.08557129
88.7638092,242.9752808
77.0382309,232.342804
72.1473999,72.200737
85.0003891,242.0311737
83.90244293,50.46944427
89.95428467,246.3368378
89.4320755,217.7339172
83.4366684,229.640976
87.88929749,56.32626724
84.70679474,53.6383667
85.53831482,241.1174774
83.36981964,45.67577362
86.73719788,47.03234863
78.94784546,233.7345428
81.83850861,86.44807434
89.45854187,239.9130859
83.99085999,65.44969177
88.35379028,70.3571701
79.17532349,57.79001999
82.42734528,228.6781616
87.7047348,65.85329437
82.99938202,232.7131653
82.99938202,232.7131653
84.13936615,236.9113007
79.91723633,236.1562805
79.63604736,225.6022644
87.55532074,249.7622986
88.1763916,247.228302
81.77977753,72.85160828
72.06555176,71.06744385
84.52368927,246.9150696
70.45942688,45.96378326
85.14446259,231.3249359
75.18135071,70.87232208
86.80841064,61.6978302
83.64167023,65.22506714
86.15151215,60.42762375
81.79759979,62.59994125
81.03419495,227.595871
85.26537323,65.29173279
81.73986053,252.1339111
77.75888062,70.54264069
87.74077606,68.35799408
76.38864136,55.84592438
89.64366913,243.4090271
79.73427582,66.95796967
89.40350342,240.0115814
86.3463974,249.2181549
88.74436951,242.2202454
88.74436951,242.2202454
85.78347015,235.8289185
86.07617188,234.3509674
79.24848938,237.5112
88.61660004,253.2145844
77.99575806,56.62356567
71.56983185,56.11665344
89.66017151,228.5540924
89.56832886,63.12171936
86.41796112,74.86621857
79.29732513,61.88596725
83.88607025,47.3105278
85.31397247,60.90475464
78.57045746,238.8169708
76.99285889,240.1211395
76.99693298,240.2420197
88.09112549,234.1325531
88.28043365,59.43064499
88.55776215,40.89634323
80.26036072,65.37811279
88.57004547,252.8714905
89.88648224,64.49721527
79.89759827,243.2458496
79.92955017,235.3795624
73.0758667,254.8569641
87.42979431,255.7283173
89.13812256,236.6937103
85.19936371,235.0553131
80.62711334,65.40109253
76.71031189,73.85353851
82.00190735,252.4524536
86.96321106,75.04247284
87.61454773,257.0491333
87.09934235,87.28040314
87.19493866,70.7281723
87.37798309,245.0545959
84.28076172,250.6251831
81.17691803,251.2196198
82.87834167,69.63385773
85.57489014,70.83960724
83.43596649,240.1941528
85.44869995,51.3915863
79.37158966,67.48021698
85.15262604,241.9745331
87.48291016,253.9477081
74.01800537,77.27089691
89.33831787,61.24082565
73.75554657,69.81632233
73.78147125,248.7452087
88.56830597,236.9159088
80.33430481,56.84526825
57.34851456,70.95021057
84.17498016,66.85979462
86.00062561,77.59656525
88.00167084,65.37258148
79.34774017,66.50505066
72.36869049,69.34495544
89.50746918,245.4835205
87.52185059,247.7760468
80.88474274,246.5636902
81.53932953,252.8267517
82.03676605,56.72869873
82.95745087,54.0083046
82.51322937,61.93807602
81.31245422,254.1342621
86.48553467,258.1206055
86.65900421,67.08666229
87.68434906,64.97682953
76.36973572,60.10923004
88.42802429,61.36190414
78.64814758,68.65715027
82.09869385,238.3141632
75.97877502,68.41915131
80.91444397,73.96367645
84.02077484,232.2469788
78.99393463,67.45832825
88.20713043,69.69469452
89.83306885,59.06263733
88.29927063,58.02538681
86.33477783,60.68947601
84.68122101,255.5807648
88.25756836,63.69103241
84.1833725,246.7361145
82.40484619,69.24451447
82.42449951,241.3478851
78.05158234,55.92316818
83.29345703,243.8088684
80.60166168,229.5350952
84.59461212,249.1894073
85.23067474,71.32832336
89.57292175,68.99525452
75.34403229,75.0329895
78.55862427,70.90785217
74.43138885,68.05743408
89.19343567,253.3277893
87.62466431,251.5282745
73.78813171,256.0317993
85.61631775,239.434845
84.70180511,77.36032867
9.156028748,328.7562256
10.67770481,314.1331787
9.110957146,342.0597534
9.416948318,345.758728
13.98888588,14.93767357
6.342637539,291.0556946
11.41964912,342.9237976
14.07396221,28.20772743
11.3481226,308.8720398
9.755058289,296.5758972
6.156700611,359.2055054
8.699965477,344.3399658
8.045495987,342.3683472
13.16604614,24.5685482
13.8913126,325.0493164
7.96037817,302.5478516
17.62834549,297.2532349
8.130572319,311.0270691
7.061053276,287.9710083
5.729913235,323.9537354
19.31146049,22.3474865
17.70713615,359.549408
25.2256546,6.022107124
19.92262268,341.3102722
3.938654184,352.3732605
4.875761509,327.2578125
2.436144114,299.3875732
8.473916054,310.4055176
20.67503548,20.39961433
12.60656261,287.7064819
8.529103279,16.20827675
10.01918411,325.2054749
11.02140808,247.0845947
22.08463669,307.8617249
12.55116177,279.8139954
17.82794571,357.080719
9.005841255,323.3063354
11.08558655,313.5182495
6.848279953,312.048645
6.120804787,295.4676208
7.303743362,340.5486145
13.67888069,10.59763432
18.28295326,6.388710976
12.15026474,349.6639709
13.15784168,330.0115967
17.38178825,357.1747131
12.97211266,335.6655273
10.40973854,318.2125244
8.914712906,353.201355
10.17105675,321.1708679
8.409220695,330.907074
8.905452728,7.13293457
8.948521614,329.2300415
11.02656937,355.6717224
15.77356529,293.6815186
14.16012955,295.4760437
13.50790024,254.9671173
18.67463684,314.5756226
13.36246014,283.4587402
13.86366081,258.8505554
8.433681488,304.973175
17.00852966,290.8321838
16.11660957,352.9710083
15.97767162,264.4994507
24.13710022,283.7989807
16.40403557,348.7984619
16.46641731,289.1419678
10.94817734,313.2850037
8.151096344,272.5605774
6.839940548,321.5762024
9.637760162,316.9685364
13.73107529,290.003479
12.48615456,305.1751099
26.56334114,286.9049683
22.03515244,346.063446
4.508455276,315.5257263
13.40272617,311.1226807
3.909210205,316.2852478
5.256056309,315.986969
14.85060883,316.0912476
20.28591156,275.1989441
11.62366104,292.0618896
13.08386993,311.1278381
14.0507431,288.8576355
8.886415482,334.5484924
78.88633728,162.5217133
78.93147278,122.3797836
73.33821869,124.5218048
84.46582031,163.4850159
76.43281555,117.1644669
75.50988007,116.8477936
63.64935684,133.8611603
75.12919617,130.2831726
74.00753021,123.7615356
76.97023773,157.690567
84.22234344,124.2123871
76.80744934,126.2954559
74.33309174,121.5378189
70.50036621,165.8794861
60.14805984,116.3723831
75.91841888,161.5686646
69.12012482,161.6619415
72.40124512,168.4372559
76.43318176,151.1522217
70.90033722,164.0779266
74.15998077,169.3517456
75.87158966,114.686058
72.84264374,127.6311646
73.32435608,121.9376755
76.02026367,123.8006897
73.61472321,125.4488525
75.37120056,166.3829041
80.24803162,164.0907135
80.63605499,161.3012848
80.32492828,165.5513916
75.15491486,127.2940979
58.68447876,162.5708466
78.07909393,161.3374939
79.49229431,159.0314484
76.99777985,167.7853394
75.01689148,165.6123047
82.22866058,161.9625397
79.47320557,121.8552475
75.21673584,165.0630951
80.17038727,136.2115021
75.8331604,123.3151321
81.87559509,170.0461578
81.23109436,164.0165405
61.21718979,123.3622131
80.2530899,126.0467453
69.5194931,123.6887894
71.21511078,148.7408905
68.97647095,124.365509
71.55490112,161.1928558
73.93372345,164.1738586
74.16535187,169.2968292
78.62579346,161.6405334
81.13100433,121.4722748
80.84515381,122.1037979
77.05274963,122.8600006
70.77430725,123.003334
74.46325684,162.7646484
74.46325684,162.7646484
74.40190125,122.8235321
76.99539948,134.2530212
79.45114136,158.0726013
81.82123566,127.4369812
75.81044006,122.0106583
77.19738007,122.9018173
74.61209106,121.6035004
81.11804199,168.805481
84.42597961,167.1782837
79.40795898,120.4168854
75.52455139,125.944725
76.30197144,116.4757156
65.93511963,121.8376541
78.23239899,119.3604889
61.10270309,119.3311615
79.52376556,163.4307098
80.58927155,163.5222321
83.07021332,167.9944458
78.51852417,165.5994263
65.47704315,133.998291
67.11051941,134.7754059
42.64919281,120.9456482
76.08663177,122.3411331
81.59875488,130.0302887
82.16815948,165.6361084
71.69392395,153.8436584
79.64785767,146.7574463
81.4536972,157.8524017
80.87410736,128.190918
78.01393127,126.5002365
81.43983459,129.0899048
82.87158203,116.2847443
62.66889954,123.1519318
79.41213226,120.9538574
68.65625,135.9234009
76.16114807,122.5350189
38.89745331,135.6799316
77.39679718,118.0342484
72.20822144,148.913208
